entity_id,entity_alias_readable
0,Egg
1,Bakery Products
2,Bread
3,Rye Bread
4,Wheaten Bread
5,White Bread
6,Wholewheat Bread
7,Wort
8,Arrack
9,Beer
10,Bantu Beer
11,Brandy
12,Anise Brandy
13,Apple Brandy
14,Armagnac Brandy
15,Blackberry Brandy
16,Cherry Brandy
17,Cognac Brandy
18,Papaya Brandy
19,Pear Brandy
20,Plum Brandy
21,Raspberry Brandy
22,Weinbrand Brandy
23,Gin
24,Rum
25,Whisky
26,Bourbon Whisky
27,Canadian Whisky
28,Finnish Whisky
29,Japanese Whisky
30,Malt Whisky
31,Scotch Whisky
32,Wine
33,Bilberry Wine
34,Botrytized Wine
35,Champagne
36,Cider
37,Plum Wine
38,Port Wine
39,Red Wine
40,Rose Wine
41,Sake
42,Sherry
43,Sparkling Wine
44,Strawberry Wine
45,White Wine
46,Coffee
47,Mate
48,Black Tea
49,Green Tea
50,Roibos Tea
51,Barley
52,Crispbread
53,Malt
54,Oats
55,Rice
56,Corn
57,Corn Oil
58,Popcorn
59,Sweetcorn
60,Butter
61,Buttermilk
62,Cheese
63,Blue Cheese
64,Camembert Cheese
65,Cheddar Cheese
66,Comte Cheese
67,Cottage Cheese
68,Cream Cheese
69,Domiati Cheese
70,Emmental Cheese
71,Feta Cheese
72,Goat Cheese
73,Gruyere Cheese
74,Limburger Cheese
75,Mozzarella Cheese
76,Munster Cheese
77,Other Cheeses
78,Parmesan Cheese
79,Provolone Cheese
80,Romano Cheese
81,Roquefort Cheese
82,Russian Cheese
83,Sheep Cheese
84,Swiss Cheese
85,Tilsit Cheese
86,Dairy Products
87,Ghee
88,Milk
89,Milk Fat
90,Goat Milk
91,Milk Powder
92,Sheep Milk
93,Skimmed Milk
94,Yogurt
95,Achilleas
96,Arar
97,Buchu
98,Cajeput
99,Camphor
100,Cascarilla
101,Cedar
102,Chamomile
103,Citronella
104,Citrus Peel Oil
105,Eucalyptus
106,Fir
107,Geranium
108,Grapefruit Peel Oil
109,Grass
110,Hops Oil
111,Hyacinth
112,Hyssop Oil
113,Lemon Grass
114,Lemon Peel Oil
115,Lime Peel Oil
116,Lovage
117,Mandarin Orange Peel Oil
118,Mastic Gum
119,Mentha Oil
120,Myrrh
121,Neroli Oil
122,Orange Oil
123,Orris
124,Clary Sage
125,Red Sage
126,Spanish Sage
127,Sandalwood
128,Sea Buckthorns
129,Sweet Grass
130,Valerian
131,Wattle
132,Yarrow
133,Ylang-Ylang
134,Clam
135,Crab
136,Crayfish
137,Kelp
138,Krill
139,Lobster
140,Mollusc
141,Oyster
142,Prawn
143,Scallop
144,Shellfish
145,Shrimp
146,Trassi
147,Squid
148,Bonito
149,Caviar
150,Codfish
151,Fish
152,Fatty Fish
153,Lean Fish
154,Fish Oil
155,Smoked Fish
156,Salmon
157,Artichoke
158,Champaca
159,Jasmine
160,Lavendar
161,Rose
162,Apple
163,Apple Sauce
164,Apricot
165,Avocado
166,Babaco
167,Banana
168,Beli
169,Byrsonima crassifolia
170,Cashew Apple
171,Cherimoya
172,Coconut
173,Currant
174,Black Currant
175,Red Currant
176,White Currant
177,Dates
178,Durian
179,Elderberry
180,Feijoa
181,Fig
182,Grape
183,Guava
184,Hogplum
185,Jackfruit
186,Kiwifruit
187,Litchi
188,Loquat
189,Malay Apple
190,Mango
191,Melon
192,Musk Melon
193,Naranjilla
194,Orange
195,Bitter Orange
196,Papaya
197,Mountain Papaya
198,Passionfruit
199,Yellow Passionfruit
200,Pawpaw
201,Peach
202,Pear
203,Bartlett Pear
204,Prickly Pear
205,Pepino
206,Pineapple
207,Plum
208,Plumcot
209,Pumpkin
210,Quince
211,Chinese Quince
212,Raisin
213,Roseapple
214,Sapodilla
215,Soursop
216,Spineless Monkey Orange
217,Starfruit
218,Tamarind
219,Woodapple
220,Berry
221,Bilberry
222,Blackberry
223,Blueberry
224,Cherry
225,Bitter Cherry
226,Sour Cherry
227,Wild Cherry
228,Cloudberry
229,Cranberry
230,Gooseberry
231,Lingonberry
232,Loganberry
233,Raspberry
234,Strawberry
235,Strawberry Jam
236,Bergamot
237,Citrus Fruits
238,Grapefruit
239,Kumquat
240,Lemon
241,Lime
242,Mandarin Orange
243,Satsuma Orange
244,Tangerine
245,Vanilla
246,Mushroom
247,Truffle
248,Angelica
249,Artemisia
250,Basil
251,Buckwheat
252,Calamus
253,Chervil
254,Coriander
255,Cornmint
256,Dill
257,Fennel
258,Fenugreek
259,Garlic
260,Lemon Balm
261,Liqourice
262,Mint
263,Rhubarb
264,Rosemary
265,Sage
266,Spearmint
267,Scotch Spearmint
268,Tarragon
269,Thyme
270,Beef
271,Beef Processed
272,Chicken
273,Frankfurter Sausage
274,Ham
275,Lamb
276,Meat
277,Mutton
278,Pork
279,Sukiyaki
280,Turkey
281,Almond
282,Brazil Nut
283,Cocoa
284,Beans
285,Lima Beans
286,Kidney Beans
287,Peanut
288,Peas
289,Soybean
290,Soybean Oil
291,Soybean Sauce
292,Filbert
293,Hazelnut
294,Macadamia Nut
295,Nuts
296,Pecans
297,Walnut
298,Muskmallow
299,Sesame
300,Allium
301,Alpinia
302,Ceriman
303,Chicory
304,Hops
305,Laurel
306,Myrtle
307,Olive
308,Pine
309,Sassafras
310,Tea
311,Fermented Tea
312,Tobacco
313,Watercress
314,Creosote
315,Honey
316,Macaroni
317,Mustard Oil
318,Peanut Butter
319,Peanut Oil
320,Rye
321,Storax
322,Vinegar
323,Anise
324,Anise Hyssop
325,Star Anise
326,Caraway
327,Cardamom
328,Cassia
329,Celery
330,Cinnamon
331,Clove
332,Cumin
333,Ginger
334,Mace
335,Marjoram
336,Nutmeg
337,Oregano
338,Parsley
339,Pepper
340,Saffron
341,Turmeric
342,Green Beans
343,Chive
344,Endive
345,Leek
346,Lettuce
347,Okra
348,Onion
349,Shallot
350,Peppermint
351,Broccoli
352,Brussels Sprout
353,Cabbage
354,Cauliflower
355,Horseradish
356,Mustard
357,Radish
358,Turnip
359,Kohlrabi
360,Rutabaga
361,Wasabi
362,Capsicum
363,Cherry Pepper
364,Tomato
365,Chayote
366,Cucumber
367,Beetroot
368,Carrot
369,Parsnip
370,Sweet Potato
371,Asparagus
372,Cassava
373,Potato
374,Fried Potato
375,Allspice
376,Asafoetida
377,Ashgourd
378,Bittergourd
379,Bottlegourd
380,Canola Oil
381,Carom Seed
382,Chard
383,Apple Cider Vinegar
384,Colocasia
385,Curry Leaf
386,Drumstick Leaf
387,Eggplant
388,Flaxseed
389,Jalapeno
390,Kenaf
391,Lotus
392,Nigella Seed
393,Kewda
394,Pomegranate
395,Poppy Seed
396,Spinach
397,Turkey Berry
398,Water Chestnut
399,White Pepper
400,Garcinia Indica
401,Cluster Bean
402,Paneer
403,Pigeon Pea
404,Basmati Rice
405,Ricotta Cheese
408,Silver linden
409,redskin onion
410,Lemon verbena
411,Cashew nut
412,Burdock
413,Borage
414,Capers
415,Safflower
416,Chestnut
417,Chickpea
418,Pummelo
419,Arabica coffee
421,Japanese persimmon
422,Black crowberry
423,Rocket salad
424,Tartary buckwheat
425,Black huckleberry
426,Sunflower
427,Swamp cabbage
428,Grass pea
429,Lentils
430,Garden cress
431,Mexican oregano
432,Lupine
433,Medlar
434,Mulberry
435,Black mulberry
436,Evening primrose
437,Millet
438,Scarlet bean
439,Pistachio
440,Purslane
441,Red raspberry
442,Black raspberry
443,Sorrel
444,Summer savory
445,Winter savory
446,Cherry tomato
447,Rowanberry
448,Sorghum
449,Dandelion
450,Linden
451,Small leaf linden
452,Wheat
453,Sparkleberry
454,Common verbena
455,Adzuki bean
456,Gram bean
457,Mung bean
458,Climbing bean
459,Muscadine grape
460,Bayberry
461,Elliott's blueberry
462,Canada blueberry
463,Buffalo currant
464,Deerberry
465,Ginseng
466,Longan
467,Pepper C. baccatum
468,Pepper C. chinense
469,Rambutan
470,Red rice
471,Annual wild rice
472,Welsh onion
473,Hard wheat
474,Triticale
475,Komatsuna
476,Pak choy
477,Jostaberry
478,Kai lan
480,Pineappple sage
481,Skunk currant
482,Breakfast cereal
484,Pasta
485,Biscuit
486,Sourdough
487,Spirit
488,Beverage alcolohic other
489,Abalone
490,Abiyuch
491,Acerola
492,Acorn
493,Winter squash
494,Agar
495,Red king crab
496,Alfalfa
497,Amaranth
498,Arrowhead
499,Arrowroot
500,Atlantic herring
501,Atlantic mackerel
502,Painted comber
503,Atlantic pollock
504,Atlantic wolffish
505,Bamboo shoots
506,Striped bass
507,Beaver
508,Beech nut
509,Beluga whale
510,Bison
511,Black bear
512,Alaska blackfish
513,Northern bluefin tuna
514,Bluefish
515,Wild boar
516,Bowhead whale
517,Breadfruit
518,Breadnut tree seed
519,Rapini
520,Brown bear
521,Buffalo
522,Burbot
523,Giant butterbur
524,American butterfish
525,Butternut
526,Butternut squash
527,Cardoon
528,Caribou
529,Natal plum
530,Carob
531,Common carp
532,Channel catfish
533,Chia
534,Chinese chestnut
535,Garland chrysanthemum
536,Cisco
537,Nuttall cockle
538,Common octopus
539,Corn salad
540,Cottonseed
541,Catjang pea
542,Squashberry
543,Atlantic croaker
544,Cusk
545,Cuttlefish
546,Mule deer
547,Devilfish
548,Dock
549,Dolphin fish
550,Freshwater drum
551,Mallard duck
552,Freshwater eel
553,Elk
554,Emu
555,Oregon yampah
556,European anchovy
557,European chestnut
558,Turbot
559,Fireweed
560,Florida pompano
561,Ginkgo nuts
562,Greylag goose
563,Greenland halibut
564,Groundcherry
565,Grouper
566,Haddock
567,Hippoglossus
568,Horse
569,Hyacinth bean
570,Irish moss
571,Pacific jack mackerel
572,Japanese chestnut
573,Jerusalem artichoke
574,Jujube
575,Jute
576,Kale
577,King mackerel
578,Lambsquarters
579,Leather chiton
580,Common ling
581,Lingcod
582,White lupine
583,Malabar spinach
584,Mammee apple
585,Purple mangosteen
586,Alpine sweetvetch
587,Milkfish
588,Monkfish
589,Moose
590,Moth bean
591,Mountain yam
592,Striped mullet
593,Muskrat
594,New Zealand spinach
595,Nopal
596,Ocean pout
597,North Pacific giant octopus
598,Ohelo berry
600,Opossum
601,Ostrich
602,Spotted seal
603,Pacific herring
604,Pacific rockfish
606,Common persimmon
607,Pheasant
608,Northern pike
609,Pili nut
610,Colorado pinyon
611,Pitanga
612,French plantain
613,American pokeweed
614,Polar bear
615,Prairie turnip
616,Quinoa
617,European rabbit
618,Raccoon
619,Rainbow smelt
620,Rainbow trout
621,Malabar plum
622,Rose hip
623,Roselle
624,Orange roughy
625,Sablefish
626,Pink salmon
627,Chum salmon
628,Coho salmon
629,Sockeye salmon
630,Chinook salmon
631,Atlantic salmon
632,Salmonberry
633,Common salsify
634,Spanish mackerel
635,Pacific sardine
636,Scup
637,Sea cucumber
638,Steller sea lion
639,Bearded seal
640,Ringed seal
641,Sea trout
642,Sesbania flower
643,American shad
644,Shark
645,Sheefish
646,Sheepshead
647,Hedge mustard
648,Snapper
649,Spelt
650,Spirulina
651,Squab
652,Squirrel
653,Greater sturgeon
654,White sucker
655,Pumpkinseed sunfish
656,Swordfish
657,Taro
658,Teff
659,Tilefish
660,Mexican groundcherry
661,Towel gourd
662,Salmonidae
663,Walleye
664,Alaska pollock
665,Whelk
667,Broad whitefish
668,Whitefish
669,Whiting
670,Wild rice
671,Tea leaf willow
672,Winged bean
673,Yam
674,Jicama
675,Yautia
676,Yellowfin tuna
677,Yellowtail amberjack
678,Pollock
679,Albacore tuna
680,Atlantic halibut
682,Smelt
683,Clupeinae
684,Spiny lobster
685,Black-eyed pea
686,Deer
687,Percoidei
688,Perciformes
690,Rabbit
691,Beefalo
693,Bivalvia
694,Flatfish
695,Walrus
696,Alaska wild rhubarb
697,Oriental wheat
698,Yardlong bean
699,Great horned owl
700,Quail
701,Boysenberry
702,Rowal
703,Jew's ear
704,Shiitake
705,Purple laver
706,Wakame
707,Enokitake
708,Epazote
709,Oyster mushroom
710,Cloud ear fungus
711,Maitake
712,Ostrich fern
713,Spot croaker
714,Sourdock
715,Tinda
716,Atlantic menhaden
717,Agave
718,Narrowleaf cattail
719,Jellyfish
720,Anchovy
721,Blue whiting
722,Carp bream
723,Chanterelle
724,Sturgeon
725,Charr
726,Common dab
727,Spiny dogfish
728,Anatidae
729,Anguilliformes
730,True frog
731,Garfish
732,Gadiformes
733,Mountain hare
734,Lake trout
735,Lemon sole
736,Lumpsucker
737,Scombridae
738,Norway haddock
739,Norway pout
740,Oil palm
741,Sago palm
742,Persimmon
743,Pikeperch
744,Pleuronectidae
745,Rock ptarmigan
746,Pacific ocean perch
747,Black salsify
748,True seal
749,Red algae
750,Kombu
751,Snail
752,True sole
753,Catfish
754,Thistle
755,Common Tuna
756,Cetacea
757,Columbidae
758,Conch
759,Berry wine
762,Vodka
763,Ice cream
764,Vermouth
765,Madeira wine
766,Nougat
767,Toffee
768,Cake
769,Pizza
770,Ymer
771,Other snack food
772,Pastry
773,Dragée
774,Chewing gum
775,Marzipan
776,Salad dressing
777,Sauce
778,Salt
780,Cream
781,Sugar
782,Sausage
783,Meatball
784,Pate
785,Sugar substitute
786,Meat bouillon
787,Other meat product
788,Whey
789,Casein
790,Fruit preserve
791,Leavening agent
792,Marshmallow
793,Gelatin
794,Water
795,Other fish product
796,Milk Human
799,Dumpling
800,Soup
803,Syrup
805,Remoulade
806,Chocolate spread
807,Fruit gum
810,Meringue
814,Cocoa butter
815,Cocoa powder
817,Chocolate
818,Hot chocolate
820,Kefir
821,Other fermented milk
822,Miso
823,Tofu
824,Zwieback
825,Roe
826,Cichlidae
827,Icing
828,Snack bar
829,Green turtle
830,Energy drink
831,Burrito
832,Hamburger
833,Chili
834,Taco
835,Tortilla
836,Nachos
837,Salad
839,Dulce de leche
840,Topping
841,Sweet custard
842,Egg roll
843,Heart of palm
845,Potato chip
846,Tortilla chip
847,Corn chip
848,Hibiscus tea
849,Stew
850,Gelatin dessert
851,Junket
852,Falafel
853,Frybread
854,Other-frozen-dessert
855,Lasagna
856,Morchella
857,Pancake
858,Pectin
859,Pudding
860,Waffle
861,Soy milk
862,Meatloaf
863,Cocktail
864,Couscous
865,Bulgur
867,Coffee mocha
868,Chimichanga
869,Semolina
870,Tapioca pearl
871,Tostada
872,Quesadilla
873,Baked potato
874,Hot dog
875,Spread
876,Enchilada
878,Nutritional drink
879,Other sandwich
880,Ketchup
881,Breakfast sandwich
882,Adobo
883,Macaroni and cheese
884,Horned melon
885,Hushpuppy
886,Fruit juice
887,Relish
889,Fruit salad
890,Soy yogurt
891,Vegetarian food
893,Cold cut
894,Mixed nuts
895,Babassu palm
896,Cupuau
897,Shea tree
898,Oil-seed Camellia
899,Ucuhuba
900,Phyllo dough
901,Cooking oil
902,Pie crust
904,Pie
905,Shortening
906,Soy cream
907,Ice cream cone
908,Molasses
909,Nance
911,Natto
912,Ravioli
913,Scrapple
914,Other pasta dish
915,Succotash
916,Tamale
917,Rice cake
918,Tree fern
919,Evaporated milk
920,Flour
921,Akutaq
923,Pita bread
924,Focaccia
925,Bagel
926,Other bread product
927,Piki bread
928,French toast
929,Oat bread
930,Potato bread
931,Cornbread
932,Corn grits
933,Multigrain bread
934,Rice bread
935,Pan dulce
936,Raisin bread
937,Wonton wrapper
938,Trail mix
939,Greenthread tea
941,Vegetable juice
942,Horchata
943,Soft drink
944,Milkshake
945,Chocolate mousse
947,Pupusa
948,Empanada
949,Arepa
950,Ascidians
951,Gefilte fish
952,Yellow pond lily
953,Fish burger
954,Other dish
955,Pot pie
956,Stuffing
958,Fudge
959,Candy bar
960,Condensed milk
961,Margarine
962,Margarine like spread
963,Hummus
964,Potato puffs
965,Potato gratin
967,Chinese bayberry
968,Green zucchini
969,Yellow zucchini
970,Saskatoon berry
971,Nanking cherry
972,Japanese pumpkin
977,Guinea hen
978,Cucurbita
